DATE,NYGDPPCAPKDUSA
1960-01-01,19135.2681815327
1961-01-01,19253.5473294341
1962-01-01,20116.2351242269
1963-01-01,20701.2699473561
1964-01-01,21599.8187054259
1965-01-01,22696.678582964
1966-01-01,23894.408153854
1967-01-01,24226.5287873383
1968-01-01,25137.1602435017
1969-01-01,25664.3794275179
1970-01-01,25279.1887911359
1971-01-01,25783.6603454669
1972-01-01,26850.6131560392
1973-01-01,28097.0604410384
1974-01-01,27691.0201679651
1975-01-01,27362.9974904271
1976-01-01,28564.6333662027
1977-01-01,29586.432207738
1978-01-01,30895.0355504639
1979-01-01,31523.4056830553
1980-01-01,31142.1936846738
1981-01-01,31620.6375192839
1982-01-01,30755.9491375441
1983-01-01,31872.9988451273
1984-01-01,33884.8759715891
1985-01-01,34986.3568660581
1986-01-01,35864.8243931488
1987-01-01,36775.2972648366
1988-01-01,37965.1311539107
1989-01-01,38989.4936735017
1990-01-01,39278.5953497875
1991-01-01,38715.2616876366
1992-01-01,39526.9708047124
1993-01-01,40082.6048153463
1994-01-01,41189.2383572889
1995-01-01,41794.19221265
1996-01-01,42869.2471695732
1997-01-01,44212.1670413743
1998-01-01,45658.1365976205
1999-01-01,47282.2846760321
2000-01-01,48689.0312898553
2001-01-01,48690.8079408159
2002-01-01,49081.3587876497
2003-01-01,50053.624104102
2004-01-01,51476.4887860738
2005-01-01,52796.089816261
2006-01-01,53782.2972881633
2007-01-01,54272.7195525927
2008-01-01,53688.3651351372
2009-01-01,51869.7063083713
2010-01-01,52759.9980807375
2011-01-01,53190.2311213989
2012-01-01,53989.2483396923
2013-01-01,54604.1300544798
2014-01-01,55574.3568248497
2015-01-01,56863.3714957652
2016-01-01,57418.9338464454
2017-01-01,58387.7758083572
2018-01-01,59821.5922735518
2019-01-01,60836.7714535018
2020-01-01,58510.2366222363
